,Tokens,POS
0,relative,ADJ
1,good,ADJ
2,native,ADJ
3,Spanish,ADJ
4,Japanese,ADJ
5,other,ADJ
6,good,ADJ
7,Swedish,ADJ
8,past,ADJ
9,old,ADJ
10,private,ADJ
11,stupid,ADJ
12,better,ADJ
13,many,ADJ
14,English,ADJ
15,low,ADJ
16,enought,ADJ
17,best,ADJ
18,old,ADJ
19,several,ADJ
20,first,ADJ
21,less,ADJ
22,English,ADJ
23,complete,ADJ
24,extra,ADJ
25,few,ADJ
26,important,ADJ
27,irregular,ADJ
28,new,ADJ
29,particular,ADJ
30,important,ADJ
31,English,ADJ
32,different,ADJ
33,important,ADJ
34,Better,ADJ
35,other,ADJ
36,English,ADJ
37,Italian,ADJ
38,English,ADJ
39,difficult,ADJ
40,good,ADJ
41,limited,ADJ
42,few,ADJ
43,English,ADJ
44,English,ADJ
45,horrible,ADJ
46,few,ADJ
47,incompetent,ADJ
48,bad,ADJ
49,impossible,ADJ
50,good,ADJ
51,right,ADJ
52,earlier,ADJ
53,right,ADJ
54,good,ADJ
55,greatful,ADJ
56,new,ADJ
